data_source,ticker,date_kst,open,high,low,close,volume,loaded_date_kst
source1,395290,2025-04-21,7800,7855,7635,7690,91164,2025-04-21
source1,397410,2025-04-14,55775,55775,55745,55750,7,2025-04-14
source1,442320,2025-04-15,17450,17642,17450,17630,25448,2025-04-15
source1,450180,2025-04-22,7840,7840,7840,7790,0,2025-04-22
source1,065350,2025-04-22,59000,60100,58300,59900,120723,2025-04-22
source1,099320,2025-04-17,45200,45200,42950,44300,37638,2025-04-18
source1,099390,2025-04-16,5880,6100,5850,6080,48024,2025-04-16
source1,179290,2025-04-14,8030,8220,8020,8170,209201,2025-04-15
source1,310200,2025-04-17,3255,3595,3250,3490,4725645,2025-04-17
source1,389470,2025-04-14,18550,18700,17400,18130,405254,2025-04-22
source1,433970,2025-04-14,12820,12820,12630,12655,44427,2025-04-14
source1,465350,2025-04-18,39440,39935,39360,39630,69528,2025-04-18
source1,490590,2025-04-21,8450,8450,8300,8365,107670,2025-04-21
source1,491700,2025-04-16,33200,33200,32950,32950,10,2025-04-16
source1,900100,2025-04-16,1082,1117,1082,1111,40821,2025-04-16
source1,000390,2025-04-21,5910,5970,5900,5960,62913,2025-04-22
source1,002200,2025-04-16,2690,2700,2650,2700,13162,2025-04-16
source1,005257,2025-04-18,21400,21400,20800,20800,396,2025-04-18
source1,031510,2025-04-14,1044,1045,1031,1037,54750,2025-04-14
source1,037270,2025-04-18,5370,5510,5270,5370,3024575,2025-04-21
source1,041650,2025-04-16,2915,2920,2885,2890,20123,2025-04-16
source1,043610,2025-04-14,1924,2210,1909,1979,2150146,2025-04-14
source1,045340,2025-04-15,9040,9410,8850,9250,228120,2025-04-15
source1,085310,2025-04-15,837,844,826,836,186927,2025-04-15
source1,082640,2025-04-16,5690,5750,5570,5630,209412,2025-04-17
source1,195980,2025-04-21,9665,9730,9570,9610,12534,2025-04-21
source1,252710,2025-04-17,2525,2525,2465,2470,1557097,2025-04-17
source1,262840,2025-04-16,2380,2450,2375,2435,81141,2025-04-16
source1,276040,2025-04-15,4395,4395,4270,4385,33635,2025-04-15
source1,396500,2025-04-21,9180,9415,9180,9290,1307977,2025-04-21
source1,449780,2025-04-16,13540,13540,13430,13460,43286,2025-04-16
source1,462900,2025-04-14,13720,14085,13660,14015,231279,2025-04-14
source1,477340,2025-04-16,1983,1983,1975,1982,5357,2025-04-16
source1,481340,2025-04-15,9780,9840,9760,9805,81195,2025-04-15
source1,0023A0,2025-04-22,9400,9465,9335,9365,173374,2025-04-22
source1,004835,2025-04-14,10250,10440,10250,10300,35111,2025-04-14
source1,005440,2025-04-17,5160,5230,5150,5210,52283,2025-04-18
source1,011500,2025-04-16,15330,15570,14530,14640,128239,2025-04-17
source1,040160,2025-04-21,2775,2820,2660,2735,32748,2025-04-21
source1,041590,2025-04-18,789,789,789,789,0,2025-04-18
source1,054540,2025-04-22,4990,5220,4980,5120,111305,2025-04-22
source1,059090,2025-04-14,9570,9810,9200,9550,539174,2025-04-15
source1,068790,2025-04-22,6330,6330,6330,6330,0,2025-04-22
source1,095720,2025-04-15,1565,1601,1530,1573,276015,2025-04-15
source1,105760,2025-04-21,7050,7150,6860,6870,121852,2025-04-21
source1,117670,2025-04-21,902,902,863,875,84554,2025-04-21
source1,249420,2025-04-16,11380,11380,11120,11150,34816,2025-04-17
source1,251350,2025-04-21,28445,28445,28150,28430,44918,2025-04-21
source1,290740,2025-04-21,5720,5730,5620,5720,2901,2025-04-21
source1,306620,2025-04-18,2340,2430,2300,2350,252937,2025-04-18
source1,306950,2025-04-16,11625,11625,11115,11205,11537,2025-04-16
source1,307280,2025-04-16,1135,1149,1120,1145,83311,2025-04-16
source1,336260,2025-04-14,13870,14100,13790,13880,150563,2025-04-15
source1,438080,2025-04-17,12545,12545,12460,12490,137840,2025-04-17
source1,443250,2025-04-22,11750,11750,11400,11580,68034,2025-04-22
source1,448760,2025-04-16,2190,2190,2150,2175,8320,2025-04-16
source1,451600,2025-04-21,121990,122425,121985,122035,96,2025-04-21
source1,458730,2025-04-14,11665,11680,11480,11590,1738890,2025-04-14
source1,473000,2025-04-18,2055,2055,2045,2050,548,2025-04-18
source1,494840,2025-04-16,9970,9970,9850,9905,14331,2025-04-16
source1,001275,2025-04-15,20850,20900,20750,20850,749,2025-04-15
source1,0026E0,2025-04-15,9325,9392,9315,9335,752959,2025-04-15
source1,005389,2025-04-21,142800,143600,142200,142800,5833,2025-04-21
source1,006200,2025-04-14,646,654,646,650,23847,2025-04-14
source1,017550,2025-04-22,1865,1883,1851,1855,96007,2025-04-22
source1,090470,2025-04-14,4215,4325,4215,4270,11400,2025-04-14
source1,095570,2025-04-17,3740,3745,3580,3615,855790,2025-04-17
source1,104200,2025-04-15,3070,3135,3030,3120,69848,2025-04-15
source1,110990,2025-04-21,13590,14050,13500,13620,47456,2025-04-22
source1,115310,2025-04-17,32600,32650,31850,31950,4211,2025-04-17
source1,124500,2025-04-17,6460,6700,6310,6580,465222,2025-04-17
source1,157490,2025-04-22,7805,7950,7740,7855,104032,2025-04-22
source1,214330,2025-04-18,621,623,609,613,201148,2025-04-18
source1,216050,2025-04-15,6840,6990,6800,6940,13140,2025-04-15
source1,225530,2025-04-21,5150,5340,4990,5100,642922,2025-04-21
source1,228850,2025-04-21,6490,6490,6410,6450,2368,2025-04-21
source1,257720,2025-04-14,31450,32750,31100,32350,1655366,2025-04-15
source1,278620,2025-04-16,116880,116910,116880,116910,624,2025-04-16
source1,323350,2025-04-15,6440,6640,6220,6510,54096,2025-04-15
source1,373110,2025-04-15,4130,4150,3960,4060,120467,2025-04-15
source1,405920,2025-04-15,2405,2405,2335,2345,5086,2025-04-15
source1,457690,2025-04-18,11255,11310,11255,11290,22418,2025-04-18
source1,466100,2025-04-15,19300,21000,19120,20050,5690061,2025-04-15
source1,479730,2025-04-21,9970,10040,9900,9985,42039,2025-04-21
source1,488290,2025-04-15,19825,20230,19825,20010,115,2025-04-15
source1,005860,2025-04-14,3570,3625,3550,3620,279391,2025-04-15
source1,005990,2025-04-16,9760,9940,9750,9930,10675,2025-04-16
source1,010240,2025-04-21,5250,5250,5130,5170,8954,2025-04-21
source1,014910,2025-04-17,1091,1122,1091,1115,68737,2025-04-17
source1,015750,2025-04-14,5070,5140,5030,5080,429373,2025-04-15
source1,019540,2025-04-15,3890,3890,3770,3800,39088,2025-04-15
source1,019680,2025-04-22,2225,2255,2215,2240,23849,2025-04-22
source1,040350,2025-04-18,496,515,489,511,287668,2025-04-18
source1,043260,2025-04-22,1061,1065,1040,1048,559420,2025-04-22
source1,043910,2025-04-22,765,778,739,743,4971103,2025-04-22
source1,053060,2025-04-22,1047,1049,1033,1035,43089,2025-04-22
source1,054220,2025-04-15,333,366,333,350,299378,2025-04-15
source1,058730,2025-04-22,3140,3210,3110,3180,111224,2025-04-22
source1,067920,2025-04-21,5340,5470,5320,5350,41635,2025-04-21
source1,073640,2025-04-15,654,654,654,654,0,2025-04-15
source1,085660,2025-04-18,10730,10850,10420,10730,459498,2025-04-21
source1,088390,2025-04-21,7430,7510,7130,7370,3168,2025-04-21
source1,096250,2025-04-14,12800,16000,12590,14990,4301560,2025-04-14
source1,119500,2025-04-22,3110,3145,3025,3140,367365,2025-04-22
source1,127710,2025-04-17,1411,1416,1366,1398,23497,2025-04-17
source1,134060,2025-04-22,4250,4405,4135,4260,3688,2025-04-22
source1,134580,2025-04-14,2120,2525,1930,2240,5718417,2025-04-14
source1,183300,2025-04-18,62200,63800,60700,62600,177640,2025-04-21
source1,212710,2025-04-18,10800,10880,10460,10460,204968,2025-04-18
source1,294630,2025-04-18,2935,2935,2770,2835,80292,2025-04-18
source1,332930,2025-04-22,42650,42840,42570,42665,102,2025-04-22
source1,352770,2025-04-17,350,350,350,350,0,2025-04-17
source1,375500,2025-04-14,40100,40400,39300,40150,117075,2025-04-15
source1,445690,2025-04-22,14080,14125,14010,14125,310,2025-04-22
source1,446700,2025-04-14,7875,7965,7845,7875,7913,2025-04-14
source1,448490,2025-04-14,58065,58165,58065,58165,1090,2025-04-14
source1,448710,2025-04-14,17220,17380,16550,17320,53552,2025-04-14
source1,469480,2025-04-15,2110,2115,2090,2110,5061,2025-04-15
source1,486290,2025-04-18,8515,8520,8430,8500,458299,2025-04-18
source1,487920,2025-04-16,8295,8345,8285,8330,3079,2025-04-16
source1,003545,2025-04-14,15490,15690,15450,15670,102786,2025-04-14
source1,006120,2025-04-18,40450,40800,38300,40700,169156,2025-04-21
source1,007110,2025-04-21,2370,2380,2305,2345,3495396,2025-04-21
source1,010820,2025-04-14,3445,3545,3390,3535,488654,2025-04-14
source1,011370,2025-04-16,871,874,858,866,82532,2025-04-16
source1,014100,2025-04-17,2800,2945,2795,2935,209303,2025-04-17
source1,018670,2025-04-21,239000,240000,232500,235500,9518,2025-04-21
source1,033130,2025-04-21,1829,1830,1722,1800,179055,2025-04-21
source1,041910,2025-04-15,5820,5840,5730,5830,12521,2025-04-15
source1,048870,2025-04-14,2915,3065,2915,3030,1072612,2025-04-15
source1,051905,2025-04-15,114400,114800,113600,114600,2007,2025-04-15
source1,065370,2025-04-17,11520,12210,11150,11910,572980,2025-04-17
source1,0007G0,2025-04-17,7495,7570,7495,7560,4615,2025-04-17
source1,014530,2025-04-21,3435,3435,3400,3410,70422,2025-04-21
source1,014825,2025-04-21,17860,17860,17500,17820,310,2025-04-21
source1,016250,2025-04-15,14390,14500,14340,14500,1774,2025-04-15
source1,036220,2025-04-21,13770,13770,13200,13200,9725,2025-04-21
source1,051630,2025-04-22,2190,2210,2155,2185,422759,2025-04-22
source1,053450,2025-04-15,5400,5500,5320,5470,147711,2025-04-15
source1,053950,2025-04-18,657,667,651,665,198862,2025-04-18
source1,071840,2025-04-16,7010,7050,6960,7000,15088,2025-04-16
source1,001210,2025-04-15,890,1011,883,988,2981253,2025-04-15
